,label,dp,unit,mfr,mifr,med_isi,mode_isi,prct5ISI,entropy,CV2_mean,CV2_median,CV,IR,Lv,LvR,LcV,SI,SKW,relevant_channel,trough_voltage,trough_t,peak_voltage,peak_t,repolarisation_t,depolarisation_t,peak_50_width,trough_50_width,onset_t,onset_amp,wvf_width,peak_trough_ratio,recovery_slope,repolarisation_slope,depolarisation_slope,spatial_decay_24um,dendritic_comp_amp
35,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,463,12.650478264237403,18.398541910500626,0.06676666666666667,0.033,0.023466666666666667,7.061592693260352,0.6362918915564166,0.5964610987833407,0.6219289126685523,0.7030760835228635,0.43007439403623293,9.791353037037272,-0.22726413220359318,0.03790060162089478,1.1472795960259725,258,-35.44921875,2733,43.827095911086715,4150,607,253,963,456,2348,-1.7724609375,1417,1.2363346064174323,-0.1201134016564416,0.15969133280003972,-0.19424479066882602,31.5234375,0.9206110314200587
36,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,464,6.36186009602848,13.759284901130123,0.10576666666666666,0.044,0.024866666666666665,6.730291598594473,0.8124579890438539,0.7778488745199508,0.9050743612001684,0.9657877779546626,0.6811997828823474,9.219982754877163,-0.40347340052557573,0.0685315770739377,1.5053712807658013,261,-56.058332189901165,4150,32.864533308177826,4859,219,217,820,363,67,-2.8029166094950586,709,0.58625599485991,-0.05376521280993326,0.2987508453356076,-0.3505586670263379,59.47265625,2.5242731999904553
37,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,468,32.63414143535768,35.70795528710107,0.0294,0.027,0.017833333333333333,7.017577547320952,0.27537189464438383,0.22685571309424524,0.2983095271535134,0.2818399194908882,0.09200961744980193,4.994468108331995,-0.08480979201410631,0.0070357099205638676,0.7989544604310408,263,-48.8671875,4201,30.116608637486276,5061,326,235,839,337,36,-2.443359375,860,0.616295108808672,-0.0717709320638808,0.3292303979706233,-0.381107056414058,53.02734375,3.2604301309293553
38,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,469,1.278728448481472,6.0310658580197,0.46613333333333334,0.015,0.0356,6.359503404459572,0.9892028547874864,0.971581921213112,1.0710633207028497,1.3206973806429019,0.9714834816235445,5.1502517150443055,-1.4386707728277879,0.12020860716332334,1.7106531409544905,265,-109.40179919044994,4150,51.56211409165752,4858,201,165,698,292,40,-5.470089959522497,708,0.4713095623034192,-0.05403707785052295,0.34191694844682613,-0.4616661378047664,105.1171875,1.9835607445118062
39,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,476,21.940249163835105,33.249465343392714,0.03746666666666667,0.023,0.0122,7.078019176901671,0.6555293231980305,0.6133743274404304,0.6476961919222473,0.7301673366479402,0.4563328579555453,18.108873394077165,-0.19813293120537062,0.04086572375836739,1.1606542636654906,270,-50.20519604143796,4150,46.40625,5466,497,235,933,362,66,-2.5102598020718982,1316,0.9243316162274834,-0.11229172397229663,0.18662317809380596,-0.2845746638602291,29.53125,1.4838504048201828
40,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,522,50.924841224000396,74.79685201180224,0.017166666666666667,0.012,0.004233333333333334,7.056883884783663,0.4412816324290921,0.3666666666666667,0.547129031257314,0.4731398326478844,0.23614858370800038,23.389172731265468,-0.1498239048462706,0.020225075489679077,0.9522020422891063,316,-84.81229847008774,4150,65.625,4808,211,202,773,351,0,-4.2406149235043875,658,0.7737674981552957,-0.08513424210794415,0.348835986200254,-0.38802309036148885,129.375,4.661874180558797
41,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,529,33.81030783643816,39.06933890827437,0.026966666666666667,0.023,0.0146,6.974361380166827,0.3123094706006435,0.2549712006709859,0.40498597537037584,0.32208155717533876,0.11913870402450301,6.095543916401855,-0.10584758609294319,0.009267914592796267,1.2607112820716848,317,-28.112136388583973,2936,37.49742727771679,4150,301,303,893,758,2540,-1.4056068194291989,1214,1.3338519264207924,-0.0883908362022673,0.05263728633725966,-0.277279329295184,24.609375,6.307663926036457
42,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,530,19.60746632264476,74.87169412570498,0.04575,0.003,0.0030666666666666668,6.67007988811873,0.8007125024992577,0.6567685589519652,0.8070138596208368,1.0212272252829502,0.7167864716336149,46.31396460657949,-0.3477443343971909,0.0839662145575237,0.9836573605471316,314,-48.4567096597146,3441,78.86602977497256,4150,269,562,828,632,2659,-2.42283548298573,709,1.6275564380826981,-0.1047638872830566,0.31971894338236084,-0.03754100318672487,47.9296875,2.5360944785269783
43,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-11-05_DK215/20-11-05_DK215_probe1,1844,11.200172718134597,36.64452423831829,0.0457,0.008,0.008233333333333334,5.301955211395062,0.8878632293379313,0.8742724027668082,1.4291052297995837,1.1113781592350667,0.8042919173188027,24.490960333247962,-0.36426546601851706,0.08931767710645132,3.583373253741632,260,-38.48586717892424,4150,16.87139818880351,4757,169,227,1244,334,78,-1.924293358946212,607,0.4383790577036207,-0.009244229825315791,0.3492325915530247,-0.31671270595862727,46.69921875,9.147194202302906
44,GrC,/media/npyx/ssd2/ago/optotag/recordings/GrC/22-03-04_MO003_GrC,250,4.571164654977117,16.878937435828536,0.0957,0.03,0.016581666666666668,5.633640329305833,0.6902169446918145,0.5854886701762417,1.4483051277195609,0.8220364029581434,0.5448327640544335,7.427455468458181,-0.5244889910165801,0.05695545959586301,2.7670217670298998,249,-26.35625343029635,4150,4.568382958287596,5162,205,148,628,293,366,-1.3178126715148175,1012,0.17333203182195342,-0.02251448520554388,0.24986080074845435,-0.4851674070772034,31.69921875,160.90120204277193
45,GrC,/media/npyx/4TB_ssd/optag_recordings/GrC/19-10-22_YC022/19-10-22_YC022_probe1,692,24.327111086766635,87.15475754493663,0.02005,0.002,0.003033333333333333,5.824304201954221,0.9277613635877237,0.903581267217631,1.3351345770836391,1.208581749247264,0.8813104364250373,57.85039894190696,-0.3015628105871687,0.10505332786447664,2.5499554761262266,266,-67.48089753704716,4150,41.12252161086717,4757,190,155,664,316,3947,-3.374044876852358,607,0.6093950008339889,-0.07906662776493147,0.3725653835390514,-0.39803744857228984,26.66015625,5.083473216508073
46,GrC,/media/npyx/4TB_ssd/optag_recordings/GrC/19-10-22_YC022/19-10-22_YC022_probe1,706,9.033544522933294,37.06871182727673,0.0542,0.012,0.00721,5.919200521743694,0.8202773414660243,0.7555846232105226,1.3165175842553323,1.0198926707232117,0.7179883987992446,21.113508123058736,-0.423681769845352,0.07991389296496394,2.429281495556357,274,-71.96412338776058,4150,43.113680021953904,4656,152,146,466,255,3977,-3.598206169388029,506,0.5990996345449341,-0.09089331116987494,0.39709463166755193,-0.5599139922913359,5.5078125,6.180049362818792
